DREAN,Piel,drean.piel@gmail.com,1100133046033 / 82,3,H
MOALIGOU,Noah,moaligou.noah@orange.fr,1121130391134 / 56,3,H
BERNARD,William,bernard.william@hotmail.com,1070323132236 / 76,5,H
LE BOURHIS,Corentin,le_bourhis.corentin@gmail.com,1070344059469 / 11,T,H
HAZARD,Dorian,hazard.dorian@orange.fr,1070378169422 / 11,4,H
LEMAITRE,Mohamed,lemaitre.mohamed@hotmail.com,1070412133681 / 11,1,H
THEREZIEN,Brieuc,therezien.brieuc@free.fr,1070522216221 / 55,1,H
PINEAU,Melvin,pineau.melvin@gmail.com,1070564360851 / 82,1,H
PREBOT,Yanis,prebot.yanis@orange.fr,1070580034821 / 51,2,H
PONTHOU,Marius,ponthou.marius@hotmail.com,1070580217808 / 06,5,H
MALLET,Timeo,mallet.timeo@free.fr,1070725297930 / 68,1,H
PERINE,Ethan,perine.ethan@gmail.com,1070741050833 / 62,3,H
LE DENMAT,Raphael,le_denmat.raphael@orange.fr,1070808019282 / 25,5,H
FOUAD,Ethan,fouad.ethan@free.fr,1070856042290 / 68,5,H
OLIER,Ewen,olier.ewen@orange.fr,1070872348404 / 42,4,H
DONOU,Ylan,donou.ylan@hotmail.com,1070993330943 / 74,5,H
BEAULIEU,Arthur,beaulieu.arthur@gmail.com,1071134360147 / 43,T,H
CONSEIL,Kilian,conseil.kilian@orange.fr,1071273129974 / 65,T,H
SERRANO,Elouan,serrano.elouan@hotmail.com,1080202323637 / 73,T,H
VERGER,Miliaw,verger.miliaw@gmail.com,1080233157542 / 43,T,H
DARDENNE,Quentin,dardenne.quentin@orange.fr,1080238228218 / 42,2,H
THIAM,Nathan,thiam.nathan@free.fr,1080314311829 / 30,2,H
GOUPIL,Esteban,goupil.esteban@orange.fr,1080389110771 / 19,2,H
BROUSSEY,Jules,broussey.jules@hotmail.com,1080404353571 / 90,3,H
EL YOUNSI,Jules,el_younsi.jules@free.fr,1080568198308 / 90,1,H
JACOVETTI,Angely,jacovetti.angely@gmail.com,1080652330858 / 05,4,H
BAZIN,Anton,bazin.anton@hotmail.com,1080704019118 / 38,3,H
SALECK,Stefan,saleck.stefan@free.fr,1080750137067 / 60,4,H
ABIVEN,Benjamin,abiven.benjamin@gmail.com,1080959384511 / 46,4,H
FILY,Armel,fily.armel@orange.fr,1081009213243 / 20,4,H
GAILLARD,Thomas,gaillard.thomas@gmail.com,1081038236645 / 85,T,H
BISQUAY,Yanis,bisquay.yanis@orange.fr,1081074014919 / 67,3,H
LANSONNEUR,Ryan,lansonneur.ryan@hotmail.com,1081108391762 / 24,4,H
LEVACHER,Armand,levacher.armand@free.fr,1081152313502 / 78,1,H
VERGER,Julien,verger.julien@gmail.com,1081280200100 / 26,2,H
TEURROC,Yoann,teurroc.yoann@orange.fr,1090162043353 / 88,5,H
LE BELLEC,Timothee,le_bellec.timothee@hotmail.com,1090334286121 / 26,3,H
MAHIAS,Alan,mahias.alan@free.fr,1090350154455 / 19,2,H
LE GALL,Pierre,le_gall.pierre@gmail.com,1090401032696 / 24,3,H
AUTRET,Pierre,autret.pierre@orange.fr,1090552336485 / 36,2,H
BELAIDI,Damien,belaidi.damien@hotmail.com,1090614304738 / 39,5,H
CHAPERON,Milo,chaperon.milo@free.fr,1090664334087 / 89,T,H
CHESNE,Tom,chesne.tom@gmail.com,1090679107409 / 61,4,H
GOURVEST,Mahe,gourvest.mahe@orange.fr,1090732189753 / 94,2,H
TROADEC,Benjamin,troadec.benjamin@hotmail.com,1090784043508 / 17,2,H
MEAR,Duncan,mear.duncan@free.fr,1090885325999 / 76,T,H
MEUR,Esteban,meur.esteban@gmail.com,1090907289648 / 40,2,H
MOUROUX,Charles-alexandre,mouroux.charles-alexandre@orange.fr,1090942226517 / 49,1,H
MONEGER,Nathan,moneger.nathan@hotmail.com,1090943276275 / 25,6,H
BUCKEL,Timeo,buckel.timeo@orange.fr,1090967375555 / 07,2,H
BARON,Enzo,baron.enzo@hotmail.com,1091112158657 / 75,T,H
DUBOCAGE,Evan,dubocage.evan@free.fr,1091143313374 / 12,3,H
BRACQUART,Alexandre,bracquart.alexandre@gmail.com,1100211217895 / 35,3,H
MORIN,Ethan,morin.ethan@orange.fr,1100235115661 / 62,6,H
LE BOITE,Maxime,le_boite.maxime@hotmail.com,1100283277041 / 55,2,H
DENEF,Elladan,denef.elladan@gmail.com,1100339304134 / 65,4,H
LE BOUEDEC,Damien,le_bouedec.damien@orange.fr,1100426047579 / 34,4,H
LEO,Amine,leo.amine@hotmail.com,1100462026530 / 32,T,H
POUPIOT,Remi,poupiot.remi@gmail.com,1100463256354 / 71,6,H
VASSEUR,Lucas,vasseur.lucas@orange.fr,1100730022627 / 94,6,H
FINANCE,Samuel,finance.samuel@hotmail.com,1100914180140 / 88,2,H
MARTIN,Evan,martin.evan@free.fr,1100934352113 / 41,T,H
LE MAREC,Yohann,le_marec.yohann@orange.fr,1100970312850 / 17,4,H
VANNIEUWENHUYZE,Yoann,vannieuwenhuyze.yoann@hotmail.com,1101004120193 / 84,4,H
CUBIZOLLES,Matteo,cubizolles.matteo@gmail.com,1101080064120 / 76,6,H
MANCELON,Yanis,mancelon.yanis@orange.fr,1101089332723 / 17,4,H
LEBEAU,Mathieu,lebeau.mathieu@hotmail.com,1101124121983 / 01,2,H
MAIGNAN,Mael,maignan.mael@free.fr,1101124223191 / 61,3,H
MALESTROIT,Kyrill,malestroit.kyrill@gmail.com,1101178069004 / 15,3,H
BESNARD,Keryan,besnard.keryan@orange.fr,1101191279796 / 41,6,H
LE MOAL,Gabin,le_moal.gabin@hotmail.com,1101209109009 / 10,6,H
LE CARRE,Alexis,le_carre.alexis@free.fr,1101242301362 / 87,T,H
LECARDONNEL,Elouan,lecardonnel.elouan@gmail.com,1110117309439 / 26,2,H
COLAS,Alexandre,colas.alexandre@orange.fr,1110233386496 / 56,6,H
HOAREAU,Etienne,hoareau.etienne@hotmail.com,1110270380563 / 43,1,H
NORMAND,Camille,normand.camille@free.fr,1110377297865 / 21,1,H
GAUTIER,Erwan,gautier.erwan@gmail.com,1110454167531 / 42,3,H
LEON--PLEVERT,Kim,leon--plevert.kim@orange.fr,1110460190167 / 39,3,H
TRIBOTTE,Kevin,tribotte.kevin@hotmail.com,1110471374804 / 84,1,H
